,City,Country,Lat,Long,Max Temp,Humidity,Wind Speed,Cloud Cover
252,Sabha,LY,27.04,14.43,20.7,28,4.7,Clear
253,Cabo San Lucas,MX,22.89,-109.91,29.0,25,7.2,Clouds
254,Cabo San Lucas,MX,22.89,-109.91,29.0,25,7.2,Clouds
255,Peruíbe,BR,-24.32,-47.0,18.12,79,0.84,Clouds
256,Peruíbe,BR,-24.32,-47.0,18.12,79,0.84,Clouds
257,Matagalpa,NI,12.93,-85.92,22.3,61,2.58,Clouds
258,Matagalpa,NI,12.93,-85.92,22.3,61,2.58,Clouds
259,Brae,GB,60.4,-1.35,1.0,70,2.1,Clear
260,Brae,GB,60.4,-1.35,1.0,70,2.1,Clear
261,Okhotsk,RU,59.38,143.3,3.46,75,6.93,Clouds
262,Okhotsk,RU,59.38,143.3,3.46,75,6.93,Clouds
263,Chokurdakh,RU,70.63,147.92,-9.06,94,2.38,Clouds
264,Chokurdakh,RU,70.63,147.92,-9.06,94,2.38,Clouds
265,Behbahān,IR,30.6,50.24,22.0,46,2.1,Clouds
266,Behbahān,IR,30.6,50.24,22.0,46,2.1,Clouds
267,Sinnamary,GF,5.38,-52.95,25.77,89,5.17,Rain
268,Sinnamary,GF,5.38,-52.95,25.77,89,5.17,Rain
269,Parkes,AU,-33.13,148.18,16.11,58,0.89,Clear
270,Parkes,AU,-33.13,148.18,16.11,58,0.89,Clear
271,Port Hedland,AU,-20.32,118.57,29.0,16,7.2,Clear
272,Port Hedland,AU,-20.32,118.57,29.0,16,7.2,Clear
273,Clyde River,CA,70.47,-68.59,-15.0,71,2.45,Clear
274,Clyde River,CA,70.47,-68.59,-15.0,71,2.45,Clear
275,Aykhal,RU,66.0,111.5,6.0,30,2.0,Clouds
276,Aykhal,RU,66.0,111.5,6.0,30,2.0,Clouds
277,Arraial do Cabo,BR,-22.97,-42.03,21.75,73,4.58,Rain
278,Arraial do Cabo,BR,-22.97,-42.03,21.75,73,4.58,Rain
279,Turki,RU,51.99,43.27,11.3,65,4.95,Clouds
280,Turki,RU,51.99,43.27,11.3,65,4.95,Clouds
281,Tasiilaq,GL,65.61,-37.64,-1.0,92,10.8,Snow
282,Tasiilaq,GL,65.61,-37.64,-1.0,92,10.8,Snow
283,Tambovka,RU,50.1,128.05,11.0,20,4.0,Clouds
284,Tambovka,RU,50.1,128.05,11.0,20,4.0,Clouds
285,Amasya Province,TR,40.67,35.83,11.0,87,2.42,Clouds
286,Frederick,US,39.47,-77.4,18.0,88,2.6,Rain
287,Frederick,US,39.47,-77.4,18.0,88,2.6,Rain
288,Kieta,PG,-6.22,155.63,30.03,65,2.04,Rain
289,Kieta,PG,-6.22,155.63,30.03,65,2.04,Rain
290,Presidencia Roque Sáenz Peña,AR,-26.79,-60.44,18.14,56,2.98,Clouds
291,Presidencia Roque Sáenz Peña,AR,-26.79,-60.44,18.14,56,2.98,Clouds
292,Tamiahua,MX,21.27,-97.45,25.62,89,3.54,Clear
293,Tamiahua,MX,21.27,-97.45,25.62,89,3.54,Clear
294,Westport,US,41.14,-73.36,18.33,67,3.6,Clear
295,Westport,US,41.14,-73.36,18.33,67,3.6,Clear
296,Lüderitz,NA,-26.65,15.16,17.5,63,5.91,Clouds
297,Lüderitz,NA,-26.65,15.16,17.5,63,5.91,Clouds
298,Manaure,CO,11.78,-72.44,26.98,78,6.49,Clouds
299,Manaure,CO,11.78,-72.44,26.98,78,6.49,Clouds
300,Oddur,SO,4.12,43.89,23.36,76,5.18,Clouds
301,Oddur,SO,4.12,43.89,23.36,76,5.18,Clouds
302,Evensk,RU,61.95,159.23,-0.99,94,8.02,Clouds
303,Evensk,RU,61.95,159.23,-0.99,94,8.02,Clouds
304,Grindavik,IS,63.84,-22.43,6.0,87,8.2,Clouds
305,Grindavik,IS,63.84,-22.43,6.0,87,8.2,Clouds
306,Celestún,MX,20.87,-90.4,27.99,71,7.2,Clouds
307,Somotillo,NI,13.04,-86.91,28.88,51,0.93,Clouds
308,Somotillo,NI,13.04,-86.91,28.88,51,0.93,Clouds
309,Kiama,AU,-34.68,150.87,19.44,51,0.45,Clear
310,Kiama,AU,-34.68,150.87,19.44,51,0.45,Clear
311,Kaitangata,NZ,-46.28,169.85,10.56,76,6.26,Rain
312,Kaitangata,NZ,-46.28,169.85,10.56,76,6.26,Rain
313,Mont-Dore,NC,-22.28,166.58,23.0,78,2.1,Clouds
314,Mont-Dore,NC,-22.28,166.58,23.0,78,2.1,Clouds
315,Kamenka,RU,51.32,42.77,12.22,61,5.81,Clouds
316,Kamenka,RU,51.32,42.77,12.22,61,5.81,Clouds
317,Águilas,ES,37.41,-1.58,16.67,53,0.89,Clouds
318,Águilas,ES,37.41,-1.58,16.67,53,0.89,Clouds
319,Chui,UY,-33.7,-53.46,12.84,87,2.72,Clouds
320,Chui,UY,-33.7,-53.46,12.84,87,2.72,Clouds
321,Ilulissat,GL,69.22,-51.1,-1.0,86,4.1,Clouds
322,Ilulissat,GL,69.22,-51.1,-1.0,86,4.1,Clouds
323,Pochutla,MX,15.74,-96.47,28.89,78,1.47,Rain
324,Pochutla,MX,15.74,-96.47,28.89,78,1.47,Rain
325,Homer,US,59.64,-151.55,9.0,49,1.5,Clouds
326,Homer,US,59.64,-151.55,9.0,49,1.5,Clouds
327,Saint-Philippe,RE,-21.36,55.77,24.0,78,3.6,Clouds
328,Saint-Philippe,RE,-21.36,55.77,24.0,78,3.6,Clouds
329,Caba,PH,16.43,120.34,32.01,61,2.58,Clouds
330,Caba,PH,16.43,120.34,32.01,61,2.58,Clouds
331,Abja-Paluoja,EE,58.13,25.35,6.67,92,0.45,Clouds
332,Abja-Paluoja,EE,58.13,25.35,6.67,92,0.45,Clouds
333,Elizabeth City,US,36.29,-76.25,23.0,69,4.6,Clear
334,Elizabeth City,US,36.29,-76.25,23.0,69,4.6,Clear
335,Muroto-misakicho,JP,33.28,134.15,22.0,83,4.6,Clouds
336,Puerto Ayora,EC,-0.74,-90.35,25.0,92,0.45,Clear
337,Puerto Ayora,EC,-0.74,-90.35,25.0,92,0.45,Clear
338,Saint Anthony,US,45.02,-93.22,12.0,43,3.1,Clear
